"","AIC_mar1_sim1","AIC_mar2_sim1","AIC_mar1_sim2","AIC_mar2_sim2","AICc_mar1_sim1","AICc_mar2_sim1","AICc_mar1_sim2","AICc_mar2_sim2","BIC_mar1_sim1","BIC_mar2_sim1","BIC_mar1_sim2","BIC_mar2_sim2"
"59","139.58","143.60","121.06","101.88","140.95","145.46","122.44","103.75","148.7","154.28","130.22","112.56"
"60","134.45","134.73","139.80","128.84","135.83","136.60","141.18","130.70","143.6","145.42","148.96","139.52"
"61","127.88","125.48","119.91"," 97.97","129.26","127.35","121.29"," 99.84","137.0","136.17","129.07","108.65"
"62","125.07","122.67","142.56","131.52","126.45","124.54","143.94","133.39","134.2","133.36","151.72","142.21"
"63","131.89","125.74","151.62","143.72","133.27","127.61","153.00","145.59","141.1","136.43","160.78","154.41"
"64","132.11","130.69","145.64","117.79","133.49","132.55","147.02","119.65","141.3","141.37","154.80","128.47"
"65","125.41","123.96","146.81","126.13","126.78","125.83","148.19","128.00","134.6","134.65","155.97","136.82"
"66","141.96","143.40","144.08","129.67","143.34","145.27","145.46","131.53","151.1","154.09","153.24","140.35"
"67","142.28","135.57","137.58","121.40","143.66","137.44","138.96","123.26","151.4","146.26","146.74","132.08"
"68","135.85","118.77","146.10","128.44","137.23","120.64","147.47","130.31","145.0","129.46","155.25","139.12"
"69","147.55","143.71","125.19","108.42","148.93","145.57","126.57","110.28","156.7","154.39","134.35","119.10"
"70","144.01","153.52","159.10","144.32","145.39","155.38","160.48","146.19","153.2","164.20","168.26","155.00"
"71","127.45","142.05","146.28","128.52","128.82","143.91","147.65","130.39","136.6","152.73","155.43","139.21"
"72","136.93","133.08","149.65","124.24","138.31","134.94","151.03","126.10","146.1","143.76","158.81","134.92"
"73","136.51","134.76","144.17","122.54","137.89","136.63","145.55","124.41","145.7","145.44","153.33","133.23"
"74","133.56","135.67","135.88","119.55","134.94","137.54","137.26","121.42","142.7","146.36","145.04","130.24"
"75","145.79","145.50","153.71","130.51","147.17","147.36","155.09","132.38","154.9","156.18","162.87","141.20"
"76","143.23","139.58","144.10","120.99","144.61","141.45","145.47","122.86","152.4","150.27","153.26","131.68"
"77","146.13","152.29","133.10","114.75","147.50","154.16","134.47","116.62","155.3","162.98","142.25","125.44"
"78","147.81","154.44","127.06","128.69","149.19","156.31","128.44","130.55","157.0","165.13","136.22","139.37"
"79","140.04","126.79","135.94","116.76","141.42","128.66","137.32","118.63","149.2","137.48","145.10","127.45"
"80","146.52","143.07","152.15","139.25","147.90","144.94","153.53","141.12","155.7","153.76","161.31","149.94"
"81","143.87","139.65","138.69","121.21","145.25","141.52","140.07","123.08","153.0","150.34","147.85","131.90"
"82","137.88","139.80","153.34","132.80","139.25","141.67","154.72","134.67","147.0","150.48","162.50","143.48"
"83","141.21","145.19","139.15","123.94","142.59","147.06","140.52","125.81","150.4","155.87","148.30","134.63"
"84","170.11","177.09","128.11","120.93","171.49","178.95","129.49","122.80","179.3","187.77","137.27","131.62"
"85","138.05","135.88","161.91","135.72","139.42","137.75","163.28","137.58","147.2","146.57","171.06","146.40"
"86","129.58","125.44","152.41","131.25","130.95","127.31","153.79","133.12","138.7","136.13","161.57","141.94"
"87","149.51","143.15","132.21","108.82","150.89","145.01","133.58","110.69","158.7","153.83","141.37","119.50"
"88","145.30","130.87"," 88.61"," 81.42","146.68","132.74"," 89.99"," 83.29","154.5","141.56"," 97.77"," 92.11"
"89","144.68","140.94","147.04","125.19","146.06","142.81","148.42","127.05","153.8","151.63","156.20","135.87"
"90","151.33","150.77","140.03","125.39","152.71","152.64","141.40","127.26","160.5","161.45","149.18","136.08"
"91","155.97","153.58","133.07","117.22","157.35","155.45","134.44","119.09","165.1","164.26","142.22","127.91"
"92","111.57","109.97","142.65","137.68","112.94","111.84","144.02","139.55","120.7","120.66","151.81","148.37"
"93","142.82","139.75","127.04"," 99.08","144.19","141.62","128.42","100.95","152.0","150.44","136.20","109.77"
"94","120.47","118.29","153.72","137.81","121.85","120.16","155.10","139.68","129.6","128.97","162.88","148.49"
"95","134.65","132.74","154.40","138.26","136.03","134.61","155.78","140.13","143.8","143.43","163.56","148.95"
"96","147.33","155.86","146.06","129.62","148.71","157.73","147.43","131.48","156.5","166.55","155.21","140.30"
"97","145.76","141.61","159.25","122.15","147.13","143.48","160.62","124.02","154.9","152.30","168.40","132.84"
"98","137.48","134.25","151.82","131.51","138.86","136.11","153.20","133.37","146.6","144.93","160.98","142.19"
"99","150.03","146.16","146.60","130.88","151.40","148.02","147.98","132.75","159.2","156.84","155.76","141.57"
"100","145.58","147.39","142.81","127.22","146.96","149.25","144.18","129.09","154.7","158.07","151.97","137.91"
"101","147.04","146.24","141.13","121.49","148.42","148.11","142.51","123.35","156.2","156.93","150.29","132.17"
"102","135.66","137.50","164.29","141.90","137.04","139.36","165.66","143.77","144.8","148.18","173.44","152.59"
"103","138.24","135.03","143.91","115.91","139.62","136.90","145.29","117.77","147.4","145.72","153.07","126.59"
"104","130.42","126.96","133.55","119.49","131.79","128.83","134.92","121.36","139.6","137.65","142.71","130.18"
"105","145.16","145.44","118.98","109.19","146.54","147.31","120.36","111.06","154.3","156.12","128.14","119.88"
"106","139.64","144.62","139.77","118.40","141.02","146.48","141.15","120.26","148.8","155.30","148.93","129.08"
"107","137.21","128.22","126.22","113.81","138.58","130.09","127.60","115.68","146.4","138.91","135.38","124.49"
"108","138.46","149.52","145.59","134.23","139.84","151.39","146.97","136.10","147.6","160.20","154.75","144.91"
"109","133.57","133.75","133.01","125.95","134.95","135.62","134.38","127.81","142.7","144.44","142.16","136.63"
"110","113.25","114.83","128.75","118.69","114.63","116.70","130.13","120.56","122.4","125.51","137.91","129.37"
"111","127.18","137.63","119.39","100.88","128.56","139.49","120.77","102.75","136.3","148.31","128.55","111.57"
"112","122.89","120.90","139.30","123.18","124.27","122.76","140.68","125.05","132.0","131.58","148.46","133.87"
"113","121.60","118.93","143.37","122.26","122.98","120.80","144.75","124.13","130.8","129.62","152.53","132.94"
