"","value","SE","lower","upper"
"b11",0.770957228750914,0.111290369802343,0.552832112112178,0.989082345389651
"b21",0.215009474069993,0.109606947676503,0.000183804168680801,0.429835143971305
"b12",-0.233324395820852,0.111416539669564,-0.451696800855275,-0.0149519907864291
"b22",0.660081976199198,0.10975512317556,0.444965887656342,0.875198064742053
"(X.Y1,X.Y1)",0.396148407462269,0.0774741821816998,0.228060314339048,0.610351284583592
"(X.Y2,X.Y2)",0.384380897257961,0.0763141578947613,0.221287067193121,0.592218892569662
