"","value","SE","lower","upper"
"b11",0.741277977274959,0.114299272090102,0.517255520519215,0.965300434030702
"b22",0.73723128162379,0.104548850676222,0.532319299673339,0.942143263574241
"tempMay_year",-0.126297449610774,0.115603006914997,-0.352875179668703,0.100280280447155
"tempApril_year_minus4",0.248225681491389,0.107306912168579,0.0379079983487719,0.458543364634007
"(X.Y1,X.Y1)",0.429692063496788,0.0803340775924889,0.248060886996417,0.660905440876498
"(X.Y2,X.Y2)",0.376863069387994,0.0766944138228136,0.214900345272926,0.584016969463596
