"","value","SE","lower","upper"
"b11","0.7301","0.11662","0.5015","0.9586"
"b22","0.6978","0.11418","0.4741","0.9216"
"(X.Y1,X.Y1)","0.4488","0.08246","0.2584","0.6914"
"(X.Y2,X.Y2)","0.4292","0.08064","0.2471","0.6613"
