"","value","SE","lower","upper"
"b11_1"," 1.0966","0.15320"," 0.79631"," 1.3969"
"b21_1"," 0.1994","0.10740","-0.01107"," 0.4099"
"b22_1"," 0.6102","0.11140"," 0.39182"," 0.8285"
"b11_2","-0.4655","0.15281","-0.76497","-0.1660"
"q11"," 0.3414","0.08535"," 0.17412"," 0.5087"
"q22"," 0.3660","0.09151"," 0.18668"," 0.5454"
