"","value","SE","lower","upper"
"b11_1"," 1.09658","0.15320"," 0.7963068"," 1.3969"
"b21_1","-0.05008","0.16091","-0.3654547"," 0.2653"
"b22_1"," 0.61567","0.16138"," 0.2993753"," 0.9320"
"b11_2","-0.46547","0.15281","-0.7649724","-0.1660"
"b21_2"," 0.31909","0.16316","-0.0007009"," 0.6389"
"b22_2","-0.11308","0.15440","-0.4156923"," 0.1895"
"q11"," 0.34140","0.08535"," 0.1741195"," 0.5087"
"q22"," 0.32542","0.08136"," 0.1659674"," 0.4849"
