"","value","SE","lower","upper"
"b11_1"," 1.09658","0.15320"," 0.79631"," 1.3969"
"b21_1"," 0.18639","0.11233","-0.03377"," 0.4065"
"b22_1"," 0.65953","0.16910"," 0.32811"," 0.9910"
"b11_2","-0.46547","0.15281","-0.76497","-0.1660"
"b22_2","-0.06239","0.16104","-0.37803"," 0.2533"
"q11"," 0.34140","0.08535"," 0.17412"," 0.5087"
"q22"," 0.36431","0.09108"," 0.18580"," 0.5428"
