"","logLik","AIC","AICc","BIC"
"mar1.null.bis",-67.5677672147719,143.135534429544,143.791272134462,149.12156467541
"mar1.full.bis",-64.4147021248932,140.829404249786,142.253133063346,149.808449618585
"mar2.full",-54.7823030619658,129.564606123932,133.564606123932,144.529681738596
"mar2.bottom.up",-57.9146976324249,129.82939526485,131.760429747608,140.304948195115
"mar2.indep",-58.7819247351323,129.563849470265,130.987578283824,138.542894839063
"mar2.indep.temp",-56.9517434913163,129.903486982633,132.429802772106,141.875547474364
