"","value","SE","lower","upper"
"b11_1",1.02073162895071,0.159569616613651,0.707980927361088,1.33348233054033
"b22_1",0.748226166105101,0.167140141482584,0.420637508428307,1.07581482378189
"b11_2",-0.382885628075359,0.161081860545299,-0.69860027330685,-0.0671709828438688
"b12_2",-0.144197586712895,0.108013257127527,-0.355899680535713,0.0675045071099225
"b22_2",-0.142558219300358,0.160035564397919,-0.456222161765818,0.171105723165103
"q11",0.323392662348276,0.0710845021095447,0.184344147034549,0.50126300998317
"q22",0.395660994206456,0.078626480134663,0.225540290894777,0.613278442283026
