"","value","SE","lower","upper"
"b11_1",1.09658159656816,0.153204700506572,0.796305901313032,1.39685729182329
"b22_1",0.748226166105101,0.167190952716333,0.42053792024015,1.07591441197005
"b11_2",-0.465473216450072,0.152808367370334,-0.764972113032292,-0.165974319867852
"b22_2",-0.142558219300358,0.160120271159247,-0.456388183967269,0.171271745366554
"q11",0.341404827892535,0.0730377363789245,0.194610891662276,0.529183372296228
"q22",0.395660994206456,0.0786268371651454,0.225539626241528,0.613279538287751
